BASS	TENOR	ALTO	SOPRANO
50.9562	43.8095	50.2338	64.501
59.5595	45.2428	49.9607	48.023
42.1581	44.9586	40.6959	41.5513
42.5903	48.2891	41.7198	43.2339
27.8734	15.3559	12.2631	39.1325
32.0862	27.7733	15.9047	40.0204
57.1635	35.3469	41.0543	40.9362
62.9015	36.0407	34.7348	32.8236
52.7616	62.0262	49.9408	61.0937
61.6306	68.8444	52.6449	59.0917
61.5549	42.2063	46.2662	37.416
46.2367	32.1664	49.0449	33.9108
43.6796	41.5843	32.2706	47.8932
40.9078	42.3634	37.8791	45.9048
51.7741	48.9348	39.626	42.5952
63.5585	36.566	36.6199	31.3915
38.3609	36.0456	36.9633	35.1525
38.1419	43.7361	42.2575	45.6548	
